Proposed URL,Page type,Primary keyword,Secondary queries,Search intent,User task,Unique value,Required calculator or interactive component,Required server-rendered answer,Parent topic hub,Internal links in,Internal links out,Canonical URL,Structured-data type,Content source or calculation source,Cannibalization target,Quality status,Publication batch,Deployment status
/,Core tool,inch to cm converter,inch to cm converter calculator; inch to cm converter formula; inch to cm converter examples,Solve the measurement task for inch to cm converter.,"Convert, compare, or understand a length or size measurement.","Task-specific calculator, explanation, examples, FAQ, and related measurement links.",Reference table or contextual guide module.,A direct answer for inch to cm converter must appear in static HTML.,/,Parent hub / plus at least one contextual sibling.,"Parent hub, two siblings, one core converter, and one relevant guide.",https://inchiscm.com,WebPage; BreadcrumbList; FAQPage only when FAQ is visible,"Site conversion utilities, exact SI/imperial factors, screen geometry formulas, and visible page model.",None allowed; consolidate punctuation and wording variants to existing canonical pages.,Approved inventory item; must pass final page quality gate before publication.,Existing,Already public
/inches-to-cm,Guide or converter,inches to cm,inches to cm calculator; inches to cm formula; inches to cm examples,Solve the measurement task for inches to cm.,"Convert, compare, or understand a length or size measurement.","Task-specific calculator, explanation, examples, FAQ, and related measurement links.","Length, screen, height, fraction, or table tool as appropriate.",A direct answer for inches to cm must appear in static HTML.,/measurement-guides,Parent hub /measurement-guides plus at least one contextual sibling.,"Parent hub, two siblings, one core converter, and one relevant guide.",https://inchiscm.com/inches-to-cm,WebPage; BreadcrumbList; WebApplication when a working tool is visible,"Site conversion utilities, exact SI/imperial factors, screen geometry formulas, and visible page model.",None allowed; consolidate punctuation and wording variants to existing canonical pages.,Approved inventory item; must pass final page quality gate before publication.,Existing,Already public
/cm-to-inches,Guide or converter,cm to inches,cm to inches calculator; cm to inches formula; cm to inches examples,Solve the measurement task for cm to inches.,"Convert, compare, or understand a length or size measurement.","Task-specific calculator, explanation, examples, FAQ, and related measurement links.","Length, screen, height, fraction, or table tool as appropriate.",A direct answer for cm to inches must appear in static HTML.,/measurement-guides,Parent hub /measurement-guides plus at least one contextual sibling.,"Parent hub, two siblings, one core converter, and one relevant guide.",https://inchiscm.com/cm-to-inches,WebPage; BreadcrumbList; WebApplication when a working tool is visible,"Site conversion utilities, exact SI/imperial factors, screen geometry formulas, and visible page model.",None allowed; consolidate punctuation and wording variants to existing canonical pages.,Approved inventory item; must pass final page quality gate before publication.,Existing,Already public
/inch-to-cm-chart,Chart or table,inch to cm chart,inch to cm chart calculator; inch to cm chart formula; inch to cm chart examples,Solve the measurement task for inch to cm chart.,"Convert, compare, or understand a length or size measurement.","Task-specific calculator, explanation, examples, FAQ, and related measurement links.","Length, screen, height, fraction, or table tool as appropriate.",A direct answer for inch to cm chart must appear in static HTML.,/measurement-guides,Parent hub /measurement-guides plus at least one contextual sibling.,"Parent hub, two siblings, one core converter, and one relevant guide.",https://inchiscm.com/inch-to-cm-chart,WebPage; BreadcrumbList; WebApplication when a working tool is visible,"Site conversion utilities, exact SI/imperial factors, screen geometry formulas, and visible page model.",None allowed; consolidate punctuation and wording variants to existing canonical pages.,Approved inventory item; must pass final page quality gate before publication.,Existing,Already public
/cm-to-inch-chart,Chart or table,cm to inch chart,cm to inch chart calculator; cm to inch chart formula; cm to inch chart examples,Solve the measurement task for cm to inch chart.,"Convert, compare, or understand a length or size measurement.","Task-specific calculator, explanation, examples, FAQ, and related measurement links.","Length, screen, height, fraction, or table tool as appropriate.",A direct answer for cm to inch chart must appear in static HTML.,/measurement-guides,Parent hub /measurement-guides plus at least one contextual sibling.,"Parent hub, two siblings, one core converter, and one relevant guide.",https://inchiscm.com/cm-to-inch-chart,WebPage; BreadcrumbList; WebApplication when a working tool is visible,"Site conversion utilities, exact SI/imperial factors, screen geometry formulas, and visible page model.",None allowed; consolidate punctuation and wording variants to existing canonical pages.,Approved inventory item; must pass final page quality gate before publication.,Existing,Already public
/height-converter,Height or length tool,height converter,height converter calculator; height converter formula; height converter examples,Solve the measurement task for height converter.,"Convert, compare, or understand a length or size measurement.","Task-specific calculator, explanation, examples, FAQ, and related measurement links.","Length, screen, height, fraction, or table tool as appropriate.",A direct answer for height converter must appear in static HTML.,/height-tools,Parent hub /height-tools plus at least one contextual sibling.,"Parent hub, two siblings, one core converter, and one relevant guide.",https://inchiscm.com/height-converter,WebPage; BreadcrumbList; WebApplication when a working tool is visible,"Site conversion utilities, exact SI/imperial factors, screen geometry formulas, and visible page model.",None allowed; consolidate punctuation and wording variants to existing canonical pages.,Approved inventory item; must pass final page quality gate before publication.,Existing,Already public
/height-chart,Height or length tool,height chart,height chart calculator; height chart formula; height chart examples,Solve the measurement task for height chart.,"Convert, compare, or understand a length or size measurement.","Task-specific calculator, explanation, examples, FAQ, and related measurement links.",Reference table or contextual guide module.,A direct answer for height chart must appear in static HTML.,/height-tools,Parent hub /height-tools plus at least one contextual sibling.,"Parent hub, two siblings, one core converter, and one relevant guide.",https://inchiscm.com/height-chart,WebPage; BreadcrumbList; FAQPage only when FAQ is visible,"Site conversion utilities, exact SI/imperial factors, screen geometry formulas, and visible page model.",None allowed; consolidate punctuation and wording variants to existing canonical pages.,Approved inventory item; must pass final page quality gate before publication.,Existing,Already public
/screen-size-converter,Screen measurement,screen size converter,screen size converter calculator; screen size converter formula; screen size converter examples,Solve the measurement task for screen size converter.,"Convert, compare, or understand a length or size measurement.","Task-specific calculator, explanation, examples, FAQ, and related measurement links.","Length, screen, height, fraction, or table tool as appropriate.",A direct answer for screen size converter must appear in static HTML.,/screen-tools,Parent hub /screen-tools plus at least one contextual sibling.,"Parent hub, two siblings, one core converter, and one relevant guide.",https://inchiscm.com/screen-size-converter,WebPage; BreadcrumbList; WebApplication when a working tool is visible,"Site conversion utilities, exact SI/imperial factors, screen geometry formulas, and visible page model.",None allowed; consolidate punctuation and wording variants to existing canonical pages.,Approved inventory item; must pass final page quality gate before publication.,Existing,Already public
/inches-to-cm-dimensions,Guide or converter,inches to cm dimensions,inches to cm dimensions calculator; inches to cm dimensions formula; inches to cm dimensions examples,Solve the measurement task for inches to cm dimensions.,"Convert, compare, or understand a length or size measurement.","Task-specific calculator, explanation, examples, FAQ, and related measurement links.","Length, screen, height, fraction, or table tool as appropriate.",A direct answer for inches to cm dimensions must appear in static HTML.,/measurement-guides,Parent hub /measurement-guides plus at least one contextual sibling.,"Parent hub, two siblings, one core converter, and one relevant guide.",https://inchiscm.com/inches-to-cm-dimensions,WebPage; BreadcrumbList; WebApplication when a working tool is visible,"Site conversion utilities, exact SI/imperial factors, screen geometry formulas, and visible page model.",None allowed; consolidate punctuation and wording variants to existing canonical pages.,Approved inventory item; must pass final page quality gate before publication.,Existing,Already public
/cm-to-inches-dimensions,Guide or converter,cm to inches dimensions,cm to inches dimensions calculator; cm to inches dimensions formula; cm to inches dimensions examples,Solve the measurement task for cm to inches dimensions.,"Convert, compare, or understand a length or size measurement.","Task-specific calculator, explanation, examples, FAQ, and related measurement links.","Length, screen, height, fraction, or table tool as appropriate.",A direct answer for cm to inches dimensions must appear in static HTML.,/measurement-guides,Parent hub /measurement-guides plus at least one contextual sibling.,"Parent hub, two siblings, one core converter, and one relevant guide.",https://inchiscm.com/cm-to-inches-dimensions,WebPage; BreadcrumbList; WebApplication when a working tool is visible,"Site conversion utilities, exact SI/imperial factors, screen geometry formulas, and visible page model.",None allowed; consolidate punctuation and wording variants to existing canonical pages.,Approved inventory item; must pass final page quality gate before publication.,Existing,Already public
