Proposed URL,Primary keyword,Page type,Parent topic hub,decision,reason,nextAction,Deployment status
/inch-to-cm,inch to cm,Guide or converter,/measurement-guides,Reject,Duplicate wording or singular/plural variant of existing /inches-to-cm.,Map query variants to the existing canonical page; do not publish a new URL.,Withheld for future approved batch
/inch-to-mm,inch to mm,Guide or converter,/measurement-guides,Reject,Duplicate wording or singular/plural variant of existing /inches-to-mm.,Map query variants to the existing canonical page; do not publish a new URL.,Withheld for future approved batch
/inch-to-meter,inch to meter,Guide or converter,/measurement-guides,Candidate,"Distinct unit-pair intent, but must be implemented with a real converter, formula, precision guidance, examples, FAQ, and hub links.",Prepare content model only after 14 days of Batch 1 GSC observation.,Withheld for future approved batch
/inch-to-km,inch to km,Guide or converter,/measurement-guides,Withhold,Technically valid but low practical value for the current inch/cm audience unless query data proves demand.,Prefer stronger everyday length-pair or guide pages first.,Withheld for future approved batch
/inch-to-foot,inch to foot,Guide or converter,/measurement-guides,Reject,Duplicate wording or singular/plural variant of existing /inches-to-feet.,Map query variants to the existing canonical page; do not publish a new URL.,Withheld for future approved batch
/inch-to-yard,inch to yard,Guide or converter,/measurement-guides,Candidate,"Distinct unit-pair intent, but must be implemented with a real converter, formula, precision guidance, examples, FAQ, and hub links.",Prepare content model only after 14 days of Batch 1 GSC observation.,Withheld for future approved batch
/inch-to-mile,inch to mile,Guide or converter,/measurement-guides,Withhold,Technically valid but low practical value for the current inch/cm audience unless query data proves demand.,Prefer stronger everyday length-pair or guide pages first.,Withheld for future approved batch
/inch-to-micrometer,inch to micrometer,Guide or converter,/measurement-guides,Withhold,"Allowed topic, but likely needs precision-specific content, examples, and stronger demand evidence before publication.",Keep in inventory; require GSC or keyword evidence and a dedicated precision-measurement template.,Withheld for future approved batch
/inch-to-nanometer,inch to nanometer,Guide or converter,/measurement-guides,Withhold,"Allowed topic, but likely needs precision-specific content, examples, and stronger demand evidence before publication.",Keep in inventory; require GSC or keyword evidence and a dedicated precision-measurement template.,Withheld for future approved batch
/cm-to-inch,cm to inch,Guide or converter,/measurement-guides,Reject,Duplicate wording or singular/plural variant of existing /cm-to-inches.,Map query variants to the existing canonical page; do not publish a new URL.,Withheld for future approved batch
/cm-to-meter,cm to meter,Guide or converter,/measurement-guides,Reject,Duplicate wording or singular/plural variant of existing /cm-to-meters.,Map query variants to the existing canonical page; do not publish a new URL.,Withheld for future approved batch
/cm-to-km,cm to km,Guide or converter,/measurement-guides,Withhold,Technically valid but low practical value for the current inch/cm audience unless query data proves demand.,Prefer stronger everyday length-pair or guide pages first.,Withheld for future approved batch
/cm-to-foot,cm to foot,Guide or converter,/measurement-guides,Candidate,"Distinct unit-pair intent, but must be implemented with a real converter, formula, precision guidance, examples, FAQ, and hub links.",Prepare content model only after 14 days of Batch 1 GSC observation.,Withheld for future approved batch
/cm-to-yard,cm to yard,Guide or converter,/measurement-guides,Candidate,"Distinct unit-pair intent, but must be implemented with a real converter, formula, precision guidance, examples, FAQ, and hub links.",Prepare content model only after 14 days of Batch 1 GSC observation.,Withheld for future approved batch
/cm-to-mile,cm to mile,Guide or converter,/measurement-guides,Withhold,Technically valid but low practical value for the current inch/cm audience unless query data proves demand.,Prefer stronger everyday length-pair or guide pages first.,Withheld for future approved batch
/cm-to-micrometer,cm to micrometer,Guide or converter,/measurement-guides,Withhold,"Allowed topic, but likely needs precision-specific content, examples, and stronger demand evidence before publication.",Keep in inventory; require GSC or keyword evidence and a dedicated precision-measurement template.,Withheld for future approved batch
/cm-to-nanometer,cm to nanometer,Guide or converter,/measurement-guides,Withhold,"Allowed topic, but likely needs precision-specific content, examples, and stronger demand evidence before publication.",Keep in inventory; require GSC or keyword evidence and a dedicated precision-measurement template.,Withheld for future approved batch
/mm-to-inch,mm to inch,Guide or converter,/measurement-guides,Reject,Duplicate wording or singular/plural variant of existing /mm-to-inches.,Map query variants to the existing canonical page; do not publish a new URL.,Withheld for future approved batch
